,Severe1,Severe2,Severe3,Severe4,Severe5,Severe6,Middle1,Middle2,Middle3,Middle4,Middle5,Middle6,Mild1,Mild2,Mild3,Mild4,Mild5,Mild6
ASV1,0.725223995,0.859174505,0.633764364,0.729542578,0.641656946,0.903452384,0.190042441,0.000620486,0.315405426,0.009009456,0.000694944,0.27720831,0,0,0,0,0,0.000173736
ASV2,0.053709265,0.003251346,0.066689831,0.046536447,0.072696136,0.004616416,0.104241642,0.11627907,0.120721749,0.243007123,0.155096672,0.08753816,0.122384652,0.137996079,0.15651138,0.196694051,0.106301655,0.174952223
ASV3,0.035491797,0.002382666,0.032116354,0.031297312,0.069246234,0.014519372,0.227172321,0.160184657,0.039661463,0.153135936,0.217467921,0.176962597,0.09771413,0.129805664,0.136978482,0.045568489,0.020823509,0.040753518
ASV4,0.025613661,0.003127249,0.029311757,0.053138418,0.054429029,0.006527512,0.106773225,0.008562706,0.093048075,0.034275645,0.154203172,0.076716885,0.208086173,0.168945918,0.069146956,0.099699685,0.058176764,0.175771264
ASV5,0.029113201,0.000843861,0.023677744,0.025588841,0.027475119,0.004095207,0.056762056,0.165694572,0.07649351,0.101784518,0.053535529,0.031148395,0.09061577,0.098210518,0.113896404,0.112804348,0.03008116,0.063537763
ASV6,0.027946688,0.002333027,0.024422328,0.015586607,0.022635328,0.00665161,0.073118066,0.087587799,0.060385694,0.084261994,0.097987144,0.062569805,0.078032315,0.078454245,0.094413144,0.080712814,0.028691271,0.061924499
ASV8,0.012881289,0.001216152,0.017373607,0.011590678,0.01015115,0.002432305,0.006453054,0.039587005,0.05571964,0.036807227,0.010300067,0.003400263,0.062594624,0.074061205,0.094090492,0.094760617,0.039289171,0.05792857
ASV7,0.010349706,0.000347472,0.010697178,0.008438609,0.016107816,0.000744583,0.025117272,0.021890745,0.023504008,0.049018391,0.028467896,0.021146162,0.019681815,0.035690353,0.024149314,0.044004865,0.020699412,0.039115435
ASV13,0.008885359,0.000819041,0.003648457,0.005882207,0.004814971,0.000967958,0.009853317,0.066789109,0.020749051,0.029708868,0.011441761,0.004566777,0.011962969,0.020997245,0.033258048,0.044302698,0.008016679,0.027202105
ASV463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358665707,0
ASV11,0.004641235,0.000471569,0.007991859,0.007172818,0.007644387,0.001141694,0.012930928,0.009158373,0.023181356,0.017646621,0.013501775,0.007023901,0.024993175,0.024645703,0.031495868,0.024893897,0.013526594,0.018440843
ASV10,0.006155221,0.000496389,0.006999082,0.006031124,0.007768484,0.000546028,0.012012608,0.014022983,0.011665136,0.026755355,0.018912412,0.009208012,0.013898886,0.017472885,0.016157455,0.023032439,0.011416942,0.020997245
ASV9,0.004914249,0.000223375,0.00352436,0.004591596,0.009853317,0.002258569,0.03094984,0.014866844,0.004666054,0.006874984,0.031173215,0.021692189,0.019930009,0.023330272,0.019135787,0.009605123,0.003251346,0.006974262
ASV14,0.003449902,0.00042193,0.006353776,0.004343402,0.004393041,0,0.00665161,0.00749547,0.010101512,0.003946291,0.009605123,0.005907026,0.023504008,0.019632176,0.035069867,0.026184508,0.012459358,0.011962969
ASV15,0.00354918,0.000223375,0.00307761,0.000645305,0.003698096,0.000347472,0.009158373,0.055943015,0.00883572,0.020600134,0.01017597,0.01062272,0.012955747,0.014072622,0.014022983,0.018813134,0.00352436,0.003027972
ASV12,0.00531136,0.000521208,0.004268943,0.002829416,0.006800526,0.000670125,0.010126331,0.015958899,0.004070388,0.023777022,0.017398426,0.010076692,0.007098359,0.009133553,0.004790152,0.008959817,0.003300985,0.00397111
ASV366,0.000297833,0,0,0,0,0,0,0,0,0.000794222,0.001886277,0.040356407,0,0,0,0,0,0.001017597
ASV16,0.001737361,0,0.002804597,0.004268943,0.003747735,0.000297833,0.005559554,0.014345636,0.0097044,0.003747735,0.002606041,0.003698096,0.012087067,0.014941302,0.018465662,0.012136705,0.00573329,0.008513067
ASV182,0.002730138,0.066069346,0.009505845,0,0,0.019954829,0.006750887,0,0,0,0,0.02385148,0,0,0,0,0,0
ASV180,0,0,0.011714775,0.002084833,0,0,0,0,0,0,0.015884441,0,0.026060411,0,0,0,0,0.045444392
ASV181,0,0,0.011416942,0,0,0,0,0,0,0,0.014122261,0,0.024620883,0,0,0,0.000719764,0.039016157
ASV19,0.003350624,0.000198556,0.003300985,0.002258569,0.002333027,0.000471569,0.005782929,0.005360999,0.010473803,0.015263955,0.007123179,0.004666054,0.008686804,0.01062272,0.013923705,0.013055025,0.002730138,0.005087985
ASV18,0.00354918,0,0.003052791,0.001861458,0.002333027,0.000471569,0.007470651,0.007867762,0.008711623,0.012881289,0.009505845,0.004666054,0.00749547,0.009406567,0.009555484,0.010895734,0.002506763,0.006105582
ASV184,0,0.055521084,0.008140776,0,0,0.018490482,0.004616416,0,0,0,0,0.018589759,0,0,0,0,0,0
ASV293,0,0,0,0,0,0,0,0,0,0,0,0.031644784,0,0,0,0,0,0.001737361
ASV183,0,0,0.009431387,0.001787,0,0,0,0,0,0,0.011764414,0,0.020525676,0,0,0,0,0.033779256
ASV112,0,0,0,0,0,0,0.008016679,0.006726068,0.005460276,0.012037428,0.007842943,0,0.005187263,0.009307289,0.007272096,0.01283165,0,0.008934998
ASV22,0.001588444,0,0.002308208,0.002159291,0.001811819,0.000794222,0.003027972,0.003226527,0.004740513,0.002258569,0.004293763,0.002382666,0.012062247,0.009083915,0.015437691,0.011243206,0.00531136,0.005410638
ASV464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103372962,0
ASV113,0.003127249,0,0.00352436,0.002754958,0,0,0.006949443,0.006328957,0.005261721,0.011764414,0,0,0.005063165,0.008339331,0.007172818,0.009431387,0.005534735,0.008488248
ASV17,0.002060013,0.000273014,0.003573999,0.001960736,0.002804597,0.000471569,0.00531136,0.00838897,0.00263086,0.015263955,0.009158373,0.007421012,0.005882207,0.00486461,0.001414708,0.001613264,0.001513986,0.001886277
ASV26,0.002382666,0,0.001787,0.001265791,0.001365069,0,0.006155221,0.00620486,0.00444268,0.006279318,0.008587526,0.005236902,0.005609193,0.007222457,0.007445832,0.006676429,0.002333027,0.005385818
ASV23,0.002308208,0,0.001464347,0.000694944,0.001588444,0.000273014,0.003449902,0.026904271,0.002754958,0.007892581,0.003747735,0.003573999,0.006502693,0.004666054,0.005162443,0.004591596,0.001365069,0.002556402
ASV28,0.001911097,7.45E-05,0.001985555,0.001538805,0.001216152,0.000173736,0.003648457,0.013973344,0.005261721,0.007644387,0.002705319,0.001662902,0.004814971,0.005931846,0.006105582,0.007669207,0.002382666,0.004244124
ASV25,0.001911097,0,0.001960736,0.000992778,0.00131543,0,0.005063165,0.006080762,0.003822194,0.00573329,0.006999082,0.004293763,0.004492318,0.00573329,0.005261721,0.005807749,0.001141694,0.003251346
ASV21,0.000694944,0.000124097,0.002010375,0.001414708,0.001836638,9.93E-05,0.001613264,0.001985555,0.004318582,0.001265791,0.002854235,0.001836638,0.007718845,0.006899804,0.012111886,0.008041498,0.004393041,0.003847013
ASV298,0,0,0,0,0,0,0,0,0,0,0,0.000124097,0,0,0,0.013427316,0,0.043409198
ASV20,0.001216152,0,0.000967958,0.000943139,0.001911097,0,0.002606041,0.002035194,0.002953513,0.004814971,0.002854235,0.002308208,0.002184111,0.004045568,0.002432305,0.004790152,0.002283388,0.003573999
ASV203,0,0,0.000173736,0,0,0,0.000794222,0.000248194,0,0,0,0,4.96E-05,0,0,0.000248194,0,0.009083915
ASV33,0,0,0.001737361,0.000794222,0.000744583,0,0.001191333,0.010399345,0.003400263,0.000546028,0.000248194,0.000496389,0.003127249,0.003648457,0.004963888,0.004144846,0.001687722,0.003201708
ASV185,0,0,0.003400263,0,0,0,0,0,0,0,0.004268943,0,0.007619568,0,0,0,0,0.01283165
ASV27,0.000918319,0,0,0.000819041,0.001240972,0,0.003822194,0.002035194,0.000620486,0.001141694,0.003921471,0.003152069,0.003251346,0.003946291,0.003226527,0.00176218,0,0.001216152
ASV31,0.000198556,0,0.000322653,0.008587526,0.001017597,0,0.002084833,0.004889429,0,0.000595667,0.005212082,0,0,0.000273014,0,0.003325805,0,0.000273014
ASV465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041001713,0
ASV24,0.000496389,9.93E-05,0.000620486,0.000918319,0.001365069,0.000297833,0.003400263,0.00131543,0.002060013,0.000397111,0.002804597,0.002010375,0.002481944,0.003400263,0.002159291,0.002109652,0.000794222,0.001365069
ASV35,0.000372292,2.48E-05,0.000595667,0.000198556,0.000670125,4.96E-05,0.001216152,0.005956665,0.001662902,0.002903874,0.001513986,0.00134025,0.001712541,0.002134472,0.002308208,0.002531583,0.000943139,0.001240972
ASV115,0,0,0,0,0,0,0,0.00486461,0.002184111,0.005162443,0,0.001389889,0.003772555,0.002333027,0.003003152,0.002606041,0,0.002581222
ASV466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031793701,0
ASV114,0,9.93E-05,0,0,0,0,0.002308208,0.008885359,0.001265791,0.002779777,0.001662902,0,0.002854235,0.002184111,0.001513986,0.001414708,0,0
ASV179,0,0,0.027524757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV29,0,0,0,0,0.001265791,0,0,0.003201708,0.000769403,0.003673277,0,0.001538805,0,0.001563625,0.001538805,0,0,0.000992778
ASV39,0.000397111,0,0.000223375,0.000148917,0.000273014,0,0.00131543,0.007594748,0.000719764,0.001290611,0.000794222,0.000967958,0.001240972,0.000967958,0.001092055,0.001166514,0,0.000397111
ASV32,0.000496389,0,0.000322653,0.000546028,0.00086868,0,0.001191333,0.000694944,0.001092055,0.001662902,0.002308208,0.001216152,0.000670125,0.001216152,0.000943139,0.000521208,0.001216152,0.00134025
ASV117,0,0,0,0,0,0,0.001067236,0.001464347,0.000992778,0.003201708,0.00134025,0,0,0.001563625,0.001588444,0.001886277,0.001042416,0.002581222
ASV46,0,0,0.000372292,0.000248194,0.000223375,0,0.000570847,0.003722916,0.001216152,0.000198556,0,0,0.00134025,0.001464347,0.001935916,0.002357847,0.000620486,0.000967958
ASV685,0,0,0,0,0,0,0,0.000297833,0.017621801,7.45E-05,0,0,0,0,0,0,0,0
ASV43,0.000223375,0,0,0.000223375,0.000248194,0,0.000620486,0.00352436,0.000769403,0.001116875,0.000496389,0.000347472,0.001141694,0.000967958,0.001265791,0.001613264,0.000297833,0.000496389
ASV119,0.000670125,0,0.000372292,0,0,0,0.001116875,0,0.000918319,0.001216152,0.001588444,0,0.00086868,0.000992778,0.00131543,0.000322653,0.001836638,0
ASV36,0.000347472,0,0.000297833,0.000645305,0.000471569,0.000148917,0.000967958,0.002804597,0.000397111,0.000769403,0.000670125,0.000521208,0.001042416,0.001141694,0.000670125,0.000719764,0,0.000248194
ASV88,0.000173736,0,0.000273014,0,7.45E-05,0,0.000570847,0.00352436,0.000347472,0.000694944,0.00044675,0.000570847,0.000769403,0.000595667,0.001141694,0.000744583,0.000397111,0.000546028
ASV41,0.00044675,0,0,0.000124097,0.000223375,0,0.000148917,0.008066318,0.000198556,0.000297833,0.000124097,4.96E-05,0.000397111,0.000620486,0.00042193,0,0,0
ASV646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003052791,0,0.009754039
ASV116,0,0,0,0,0,0,0.002035194,0,0,0,0.002357847,0.001687722,0,0.002258569,0,0,0,0
ASV467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01193815,0
ASV118,0,0,9.93E-05,0.000223375,0,4.96E-05,0.000198556,0.001290611,0.000670125,0.000124097,7.45E-05,0.000173736,0.000546028,0.001191333,0.001513986,0.000595667,0.000471569,0.000794222
ASV50,0.000297833,0,0.000273014,0,0.000198556,0,0.000471569,0.00220893,0.000273014,0.001265791,0.000248194,0.000471569,0.000595667,0.00086868,0.000570847,0.000322653,0,0.000198556
ASV60,0,0,0.000223375,0.000124097,0.000148917,0,0.000570847,0.000546028,0.000546028,0.000570847,0.000273014,0.000521208,0.000546028,0.000570847,0.000397111,0.000744583,0.000347472,0.000322653
ASV123,0,0,0.000819041,0,0,0,0.000273014,0.001638083,0.000595667,0.000521208,0,0.00042193,0.001017597,0.000521208,0.000521208,0,0.000248194,0.000819041
ASV30,0.000694944,0,0,0.000347472,0.001166514,0,0.001836638,0,0,0,0.002854235,0,0,0,0,0.001042416,0,0
ASV34,0,0,0,0.000223375,0.000670125,0,0.000744583,0.000694944,0,0,0.000744583,0.000769403,0.000273014,0.000719764,0,0.000173736,0.000843861,0.000694944
ASV578,0.000471569,0,0,0,0,0,0.000620486,0.001638083,0,0.001538805,0.002804597,0.001911097,0,0,0,0,0,0
ASV57,0,0,9.93E-05,0,0.000148917,2.48E-05,0.000595667,0.001265791,0.000248194,0.000223375,0.000223375,0.000223375,0.000570847,0.00044675,0.001092055,0.000694944,9.93E-05,0.000397111
ASV121,0.000546028,0,0,0,0,0,0,0,0.00220893,0,0.000918319,0,0.001240972,0.000670125,0.000794222,0.000992778,0,0
ASV584,0,0,0,0,0,0.000521208,0.000297833,0,0.002109652,0,0,0,0,0,0,0,0,0
ASV126,0.000223375,0,0,2.48E-05,0,0,0.000198556,0.000645305,0.000148917,0,0,0,0.00042193,0.00042193,0.000397111,0.000347472,0,0.000198556
ASV468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006477873,0
ASV40,0,0,0,0,0.000198556,0,0.001191333,0.000595667,0,0.000322653,0.000992778,0.000769403,0,0.000322653,0,0,0,0
ASV504,0.00265568,0,0,0,0,0,0,0,0.000694944,0.000273014,0,0,0,0,0.000148917,0,0.000198556,0
ASV297,0,0,0,0.000694944,0,0,0,0,0,0.002928694,0,0,0,0,0,0,0.000223375,0.000223375
ASV45,7.45E-05,0,0,0,0.000198556,0,0.000546028,0.000521208,0,0.000372292,0.000347472,0.000719764,0,0.000372292,0,0.000148917,0,0
ASV863,0,0,0,0,0,0,0,0,0.004889429,0,0,0,0,0,0,0,0,0
ASV56,7.45E-05,0,0,0,0.000124097,0,7.45E-05,0.000372292,0,0,0.000124097,0,0,9.93E-05,0.000397111,0.000248194,0.000124097,0
ASV469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00441786,0
ASV317,0,0,0,0,0,0,0.000496389,0,0,0,0.004666054,0,0,0,0,0,0,0
ASV736,0,0,0,0,0,0.004467499,0,0,0,0,0,0,0,0,0,0,0,0
ASV62,0,0,0,9.93E-05,0.000148917,0,0,0.000769403,9.93E-05,0.000372292,0.000248194,0,0,0.00042193,0.00044675,0.000521208,0,9.93E-05
ASV491,0,0,0,0.000273014,0,0,0,0.000595667,0.000347472,0.000620486,0.000694944,0,0,0,0.000670125,0,0.000297833,0
ASV792,0,0,0,0,0,0,0,0,0,0,0,0.004045568,0,0,0,0,0,0
ASV470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003350624,0
ASV139,0,0,4.96E-05,0,0,0,9.93E-05,0.001216152,0,0.000223375,0.000148917,0,0.000297833,9.93E-05,0.000273014,0.000248194,0.000198556,0
ASV864,0,0,0,0,0,0,0,0,0.003300985,0,0,0,0,0,0,0,0,0
ASV127,0,0,0,0,0,0,0,0.000744583,0.000198556,0,0,0,0.00042193,0.000397111,0.000322653,0.00044675,0.000173736,0
ASV294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV132,0,0,0,0,0,0,0,0.000694944,0.000173736,0.000198556,0.000124097,0.000124097,0.000297833,0.000248194,0.000124097,0.000297833,0,0
ASV122,0,0,0,0,0,0,0,0,0,0.000521208,0.001116875,0,0,0.000471569,0,0.000670125,0.000148917,0
ASV252,0,0,0,0,0,0,0,0.001166514,0.000372292,0,0,0,0.000744583,0,0,0,0,0
ASV55,0,0,0,0,0.000173736,0,0,0,0.000546028,0,0,0,0,0,0.000347472,0,0.000347472,0
ASV471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002779777,0
ASV683,0,0,0,0,0,0,0,0.00044675,0.000471569,0,0,0.000570847,0,0,0,0,0,0.001191333
ASV129,0,0,0,0,0,0,9.93E-05,4.96E-05,7.45E-05,0.000397111,0.000273014,0,0.000297833,0.000322653,0.000297833,7.45E-05,0,0.000322653
ASV84,0,0,7.45E-05,4.96E-05,7.45E-05,0,0,0.000347472,7.45E-05,0,0,0,0.000223375,0.000297833,0,0.000148917,0,0.000148917
ASV134,0,0,0,0,0,0,0,0.000496389,0,0.000496389,0,0.000223375,0.000248194,0.000173736,0.000198556,0.000645305,0,0
ASV135,0,0,0,0,0,0,0,0.000347472,0.000124097,0.000248194,0.000248194,0,0.000347472,0.000223375,0.000198556,0,0,0
ASV258,0,0,0,0,0,0,0,0.000546028,0,0.000124097,7.45E-05,9.93E-05,0.000248194,0,0.000322653,0.000223375,0,7.45E-05
ASV137,0,0,0,0,0,0,4.96E-05,0.000645305,2.48E-05,0.000173736,0,0,0,0.000173736,0.000173736,0.000198556,0,0.000198556
ASV186,0,0,0.000943139,0,0,0.001439527,0,0,0,0,0,0,0,0,0,0,0,0
ASV647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002084833,0,0
ASV124,0.000248194,0,0,0,0,0,0,0,0,0.001042416,0,0,0,0.000570847,0,0,0,0
ASV680,0,0,0,0,0,0,0,0.002357847,0,0,0,0,0,0,0,0,0,0
ASV255,0,0,0,0,0,0,0.000248194,0.000794222,0,0.000248194,0,0,0.00042193,0,0,0.000223375,0.000273014,0
ASV131,0.000124097,4.96E-05,0,0,0,0,4.96E-05,0.000124097,4.96E-05,0.000148917,0,0,0.000819041,0.000198556,0.000124097,0,0,0.000173736
ASV472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001886277,0
ASV66,9.93E-05,0,7.45E-05,0,9.93E-05,0,0,0.000273014,0.000273014,0.000198556,0,0,0.000148917,0.000124097,0.000124097,0.000198556,0,0
ASV369,0,0,0,0,0,0,0,0.001042416,0,0,0,0.000397111,0,0,0,0,0,0
ASV877,0,0,0,0,0,0,0,0,0.000198556,0,0,0,0,0,0,0,0,0
ASV473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001960736,0
ASV141,0,0,0,0,0,0,0,0.00042193,0,0,0,0,0,0.000124097,0.000595667,0.000347472,0,0
ASV1341,0,0,0,0,0,0,0,0,0,0,0.002258569,0,0,0,0,0,0,0
